id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;ANIO_MIN;EVENTO;ID_GRUPO_ETARIO;GRUPO_ETARIO;SEPI_MIN;cantidad
999;desconocido;99;desconocida;2025;Dengue;9;De 25 a 34 años;9;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);10;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);12;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);14;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);15;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);16;2
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);18;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);20;1
999;desconocido;99;desconocida;2025;Dengue;2;Posneonato (29 hasta 365 días);21;3
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;14;1
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;18;1
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;19;1
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;20;1
999;desconocido;99;desconocida;2025;Dengue;3;De 13 a 24 meses;21;2
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;9;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;11;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;13;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;15;2
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;16;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;17;1
999;desconocido;99;desconocida;2025;Dengue;4;De 2 a 4 años;18;1
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;6;1
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;8;1
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;9;4
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;10;4
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;11;10
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;12;5
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;13;3
999;desconocido;99;desconocida;2025;Dengue;5;De 5 a 9 años;14;6
